Class,True Positives,False Positives,True Negatives,False Negatives
b'Abies alba',0,10,715,4
b'Abies cephalonica',0,8,715,6
b'Acacia dealbata',0,4,720,5
b'Aesculus hippocastanum',1,3,719,6
b'Ailanthus altissima',0,4,721,4
b'Allium nigrum',0,10,716,3
b'Allium polyanthum',0,6,718,5
b'Alnus glutinosa',0,3,720,6
b'Amorpha fruticosa',0,10,713,6
b'Angelica sylvestris',0,10,710,9
b'Arbutus unedo',0,8,711,10
b'Arundo donax',0,7,716,6
b'Asphodelus albus',0,6,718,5
b'Asplenium adiantum-nigrum',0,6,721,2
b'Astragalus monspessulanus',0,10,710,9
b'Beta vulgaris',0,7,713,9
b'Bistorta officinalis',0,5,716,8
b'Broussonetia papyrifera',0,9,715,5
b'Buddleja davidii',0,6,717,6
b'Calluna vulgaris',0,4,720,5
b'Canna indica',0,9,712,8
b'Carduus acanthoides',0,6,720,3
b'Carduus carlinoides',0,4,720,5
b'Carex riparia',0,5,722,2
b'Carlina acanthifolia',0,7,718,4
b'Carlina acaulis',0,6,717,6
b'Carpobrotus edulis',0,2,722,5
b'Casuarina cunninghamiana',0,3,717,9
b'Cedrus atlantica',0,5,718,6
b'Centaurea corymbosa',0,5,716,8
b'Centranthus angustifolius',0,3,720,6
b'Centranthus ruber',0,4,716,9
b'Cercis siliquastrum',0,7,714,8
b'Chamaerops humilis',0,6,718,5
b'Cirsium acaulon',0,6,717,6
b'Cirsium eriophorum',0,6,716,7
b'Cornus sanguinea',0,7,713,9
b'Corylus avellana',0,4,719,6
b'Crithmum maritimum',0,8,714,7
b'Datura stramonium',0,5,719,5
b'Daucus carota',0,8,714,7
b'Drosera rotundifolia',0,4,719,6
b'Dryopteris filix-mas',0,8,715,6
b'Eryngium bourgatii',0,3,716,10
b'Eryngium spinalba',0,7,714,8
b'Eupatorium cannabinum',0,5,717,7
b'Euphorbia characias',0,7,718,4
b'Euphorbia paralias',0,4,722,3
b'Feijoa sellowiana',0,7,718,4
b'Ficus carica',0,5,720,4
b'Fragaria vesca',0,4,720,5
b'Fraxinus excelsior',0,7,718,4
b'Fritillaria meleagris',0,4,718,7
b'Geranium dissectum',0,9,715,5
b'Geranium sanguineum',0,9,711,9
b'Gleditsia triacanthos',0,4,719,6
b'Globularia alypum',0,8,718,3
b'Globularia bisnagarica',0,3,722,4
b'Helianthemum apenninum',0,4,719,6
b'Himantoglossum robertianum',0,4,720,5
b'Holcus lanatus',0,6,718,5
b'Hylotelephium telephium',0,7,711,11
b'Jacobaea maritima',0,4,719,6
b'Juniperus communis',0,5,716,8
b'Larix decidua',1,9,714,5
b'Lathraea clandestina',0,6,716,7
b'Lavandula stoechas',0,6,714,9
b'Limoniastrum monopetalum',0,5,720,4
b'Magnolia grandiflora',0,7,715,7
b'Monotropa hypopitys',0,8,715,6
b'Morus alba',0,4,720,5
b'Neotinea ustulata',0,8,716,5
b'Neottia nidus-avis',0,5,719,5
b'Nerium oleander',0,5,718,6
b'Opuntia ficus-indica',0,6,712,11
b'Orchis simia',1,6,717,5
b'Orobanche amethystea',0,2,720,7
b'Orobanche minor',0,8,717,4
b'Ostrya carpinifolia',0,8,715,6
b'Papaver somniferum',0,5,719,5
b'Pinus brutia',0,6,718,5
b'Pinus cembra',0,8,714,7
b'Pinus halepensis',0,7,715,7
b'Pinus mugo',0,2,722,5
b'Pinus nigra',0,3,721,5
b'Pinus pinaster',0,4,718,7
b'Pinus pinea',0,4,720,5
b'Pinus sylvestris',0,2,718,9
b'Pistacia lentiscus',0,9,719,1
b'Pistacia terebinthus',0,8,715,6
b'Pittosporum tobira',0,6,721,2
b'Plantago coronopus',0,8,713,8
b'Plantago media',0,3,719,7
b'Polypodium vulgare',1,4,717,7
b'Polystichum setiferum',1,5,719,4
b'Potentilla indica',0,8,713,8
b'Prospero autumnale',0,4,718,7
b'Prunus dulcis',0,7,717,5
b'Prunus laurocerasus',0,7,719,3
b'Pyracantha coccinea',0,10,713,6
b'Quercus cerris',0,4,719,6
b'Quercus ilex',0,9,713,7
b'Rhaponticum coniferum',0,7,714,8
b'Rhus typhina',0,6,714,9
b'Robinia pseudoacacia',0,4,718,7
b'Rubus fruticosus',0,8,718,3
b'Sambucus ebulus',0,6,716,7
b'Sambucus nigra',0,5,715,9
b'Sedum album',0,8,715,6
b'Sedum dasyphyllum',0,4,722,3
b'Sedum sediforme',0,7,721,1
b'Sempervivum arachnoideum',0,5,717,7
b'Sempervivum tectorum',0,3,721,5
b'Taxus baccata',0,6,719,4
b'Tordylium apulum',0,6,718,5
b'Tractema lilio-hyacinthus',0,5,718,6
b'Trifolium incarnatum',0,3,723,3
b'Trifolium pratense',0,7,719,3
b'Valeriana officinalis',0,5,717,7
b'Veratrum album',0,9,713,7
b'Viburnum rhytidophyllum',0,5,716,8
b'Wisteria sinensis',0,9,714,6
